Roll Number,Period 0,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6
224101,red,red,red,red,red,red,red
224048,red,red,red,red,red,red,red
224113,red,red,red,red,red,red,red
224117,red,red,red,red,red,red,red
224302,red,red,red,red,red,red,red
224014,red,red,red,red,red,red,red
224049,red,red,red,red,red,red,red
224316,red,red,red,red,red,red,red
224037,red,red,red,red,red,red,red
224036,red,red,red,red,red,red,red
224125,red,red,red,red,red,red,red
224112,red,red,red,red,red,red,red
224317,red,red,red,red,red,red,red
224004,red,red,red,red,red,red,red
224313,red,red,red,red,red,red,red
224123,red,red,red,red,red,red,red
224120,green,green,green,green,green,green,green
224128,red,red,red,red,red,red,red
224031,red,red,red,red,red,red,red
224329,green,green,green,green,green,green,green
224016,red,red,red,red,red,red,red
224305,red,red,red,red,red,red,red
224327,green,green,green,green,green,green,green
224307,green,green,green,green,green,green,green
224118,red,red,red,red,red,red,red
224046,red,red,red,red,red,red,red
224032,red,red,red,red,red,red,red
224012,red,red,red,red,red,red,red
224043,red,red,red,red,red,red,red
224130,red,red,red,red,red,red,red
224124,red,red,red,red,red,red,red
224108,red,red,red,red,red,red,red
224335,red,red,red,red,red,red,red
224102,red,red,red,red,red,red,red
224027,red,red,red,red,red,red,red
224311,red,red,red,red,red,red,red
224326,red,red,red,red,red,red,red
224038,red,red,red,red,red,red,red
224006,red,red,red,red,red,red,red
234903,red,red,red,red,red,red,red
